_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,ratings_got_dict,UTT,max_rating_with_variance,got_feedback_classifier,got_feedback_classifier_int,trip_nbr,trip_got_class,time_stamp,most_frequent
64db6696b4f06b54750be148,151281,3.6,3.6,2.5,3.2,3.4,"{'chatty_score': 4.92, 'safety_score': 1.37, 'punctuality_score': 1.32, 'friendliness_score': 2.67, 'comfortibility_score': 1.03}",15,4.92,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:07:03.391,1
64db5fd9ffbd07ec587bd512,56122,4.5,4.4,4.6,4.4,4.2,"{'chatty_score': 8.229999999999999, 'safety_score': 9.08, 'punctuality_score': 9.72, 'friendliness_score': 9.12, 'comfortibility_score': 7.09}",15,9.72,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:07:33.411,3
64db5c57ffbd07ec587ba1e0,43016,3.6,3.7,2.8,2.9,3.8,"{'chatty_score': 5.449999999999999, 'safety_score': 4.0, 'punctuality_score': 3.96, 'friendliness_score': 1.69, 'comfortibility_score': 2.7800000000000002}",20,5.449999999999999,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:07:33.670,1
64db6637b4f06b54750bdbdd,149894,3.5,2.9,3.8,3.5,3.4,"{'chatty_score': 6.28, 'safety_score': 6.800000000000001, 'punctuality_score': 5.01, 'friendliness_score': 6.190000000000001, 'comfortibility_score': 5.15}",10,6.800000000000001,safety_score,2,2,"{'1': 'safety_score', '2': 'safety_score'}",2023-08-19 15:12:18.715,2
64db5a43ffbd07ec587b83ab,35283,2.5,3.8,2.8,2.8,3.3,"{'chatty_score': 2.16, 'safety_score': 5.67, 'punctuality_score': 2.87, 'friendliness_score': 2.0700000000000003, 'comfortibility_score': 5.19}",15,5.67,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:08:29.619,2
64db5a52ffbd07ec587b848a,35506,3.7,2.8,3.2,3.4,2.9,"{'chatty_score': 6.890000000000001, 'safety_score': 6.36, 'punctuality_score': 1.9299999999999997, 'friendliness_score': 5.640000000000001, 'comfortibility_score': 8.34}",25,8.34,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:08:29.882,5
64db66d4b4f06b54750be4c8,152177,3.6,3.8,3.5,3.0,3.7,"{'chatty_score': 3.9299999999999997, 'safety_score': 6.26, 'punctuality_score': 3.08, 'friendliness_score': 2.9699999999999998, 'comfortibility_score': 5.890000000000001}",15,6.26,safety_score,2,2,"{'1': 'comfortibility_score', '2': 'safety_score'}",2023-08-26 17:34:47.311,5
64db5fffffbd07ec587bd739,56673,3.3,2.2,3.3,3.0,2.7,"{'chatty_score': 3.93, 'safety_score': 2.86, 'punctuality_score': 3.7399999999999998, 'friendliness_score': 3.8400000000000003, 'comfortibility_score': 2.98}",30,3.93,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:09:58.621,1
64db5aabffbd07ec587b8992,36794,2.7,2.1,2.0,2.6,2.9,"{'chatty_score': 3.18, 'safety_score': 2.56, 'punctuality_score': 2.7800000000000002, 'friendliness_score': 3.22, 'comfortibility_score': 3.42}",20,3.42,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:09:58.883,5
64db64d5b4f06b54750bc794,144701,3.4,4.3,3.8,3.8,4.3,"{'chatty_score': 2.8600000000000008, 'safety_score': 3.34, 'punctuality_score': 3.49, 'friendliness_score': 2.8000000000000003, 'comfortibility_score': 2.34}",10,3.49,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:09:59.172,3
64db58d9ffbd07ec587b6f0a,30002,2.4,4.0,3.2,2.6,4.0,"{'chatty_score': 51.05999999999999, 'safety_score': 45.13999999999999, 'punctuality_score': 41.099999999999994, 'friendliness_score': 43.4, 'comfortibility_score': 41.959999999999994}",30,51.05999999999999,chatty_score,1,16,"{'1': 'comfortibility_score', '2': 'comfortibility_score', '3': 'friendliness_score', '4': 'comfortibility_score', '5': 'friendliness_score', '6': 'chatty_score', '7': 'safety_score', '8': 'safety_score', '9': 'chatty_score', '10': 'chatty_score', '11': 'chatty_score', '12': 'chatty_score', '13': 'chatty_score', '14': 'chatty_score', '15': 'chatty_score', '16': 'chatty_score'}",2023-08-17 09:56:59.636,1
64db5aedffbd07ec587b8d58,37760,2.7,3.8,3.8,3.3,3.6,"{'chatty_score': 5.87, 'safety_score': 13.67, 'punctuality_score': 9.149999999999999, 'friendliness_score': 2.79, 'comfortibility_score': 9.86}",20,13.67,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:13:15.977,2
64db5cd5ffbd07ec587ba912,44858,2.8,3.3,3.2,3.2,3.0,"{'chatty_score': 3.1300000000000003, 'safety_score': 5.82, 'punctuality_score': 3.58, 'friendliness_score': 2.81, 'comfortibility_score': 5.02}",25,5.82,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:13:16.237,2
64db66afb4f06b54750be2af,151640,4.1,3.3,3.5,4.0,3.6,"{'chatty_score': 6.78, 'safety_score': 6.63, 'punctuality_score': 6.41, 'friendliness_score': 6.7, 'comfortibility_score': 8.54}",20,8.54,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:13:16.532,5
64db5b10ffbd07ec587b8f4d,38261,3.8,3.1,3.2,3.7,2.9,"{'chatty_score': 2.7199999999999998, 'safety_score': 1.33, 'punctuality_score': 2.5700000000000003, 'friendliness_score': 1.63, 'comfortibility_score': 1.48}",30,2.7199999999999998,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:14:24.481,1
64db61f7b4f06b54750b9dc2,133995,2.2,2.8,2.6,2.7,3.1,"{'chatty_score': 2.8100000000000005, 'safety_score': 1.62, 'punctuality_score': 3.1599999999999997, 'friendliness_score': 1.67, 'comfortibility_score': 1.2}",15,3.1599999999999997,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:14:24.707,3
64db5d00ffbd07ec587bab84,45484,3.0,3.6,2.7,3.1,3.2,"{'chatty_score': 2.9800000000000004, 'safety_score': 3.26, 'punctuality_score': 1.8299999999999998, 'friendliness_score': 3.0700000000000003, 'comfortibility_score': 2.18}",15,3.26,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:17:25.026,2
64db610ab4f06b54750b9036,130527,3.0,2.8,2.4,3.5,3.4,"{'chatty_score': 6.360000000000001, 'safety_score': 3.0, 'punctuality_score': 2.4299999999999997, 'friendliness_score': 5.01, 'comfortibility_score': 1.9099999999999997}",20,6.360000000000001,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:17:25.256,1
64db5c2affbd07ec587b9f5a,42370,2.8,2.3,2.3,2.6,2.9,"{'chatty_score': 2.12, 'safety_score': 1.9, 'punctuality_score': 2.5199999999999996, 'friendliness_score': 1.35, 'comfortibility_score': 1.8399999999999999}",15,2.5199999999999996,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:21:06.259,3
64db65b5b4f06b54750bd464,147981,3.2,3.0,2.8,3.8,3.3,"{'chatty_score': 2.7199999999999998, 'safety_score': 1.9300000000000002, 'punctuality_score': 2.67, 'friendliness_score': 2.57, 'comfortibility_score': 1.53}",25,2.7199999999999998,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:21:06.509,1
64db5bc0ffbd07ec587b9954,40828,3.8,3.8,4.2,3.1,2.7,"{'chatty_score': 6.05, 'safety_score': 6.630000000000001, 'punctuality_score': 7.5600000000000005, 'friendliness_score': 4.42, 'comfortibility_score': 2.79}",15,7.5600000000000005,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:21:32.420,3
64db6038ffbd07ec587bda7f,57511,2.2,2.6,2.1,3.2,2.9,"{'chatty_score': 3.2299999999999995, 'safety_score': 1.41, 'punctuality_score': 3.59, 'friendliness_score': 3.07, 'comfortibility_score': 1.77}",20,3.59,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:21:32.699,3
64db647cb4f06b54750bc27a,143395,3.5,2.2,2.2,3.9,2.1,"{'chatty_score': 5.62, 'safety_score': 4.470000000000001, 'punctuality_score': 10.94, 'friendliness_score': 4.96, 'comfortibility_score': 5.13}",10,10.94,punctuality_score,3,2,"{'1': 'safety_score', '2': 'punctuality_score'}",2023-08-17 09:30:26.929,2
64db5d28ffbd07ec587badc1,46057,3.5,3.2,3.9,3.4,2.7,"{'chatty_score': 5.34, 'safety_score': 5.44, 'punctuality_score': 7.73, 'friendliness_score': 4.32, 'comfortibility_score': 3.4200000000000004}",30,7.73,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:23:08.010,3
64db5ff3ffbd07ec587bd688,56496,3.2,3.5,3.2,3.5,3.6,"{'chatty_score': 3.9000000000000004, 'safety_score': 2.31, 'punctuality_score': 2.8699999999999997, 'friendliness_score': 4.96, 'comfortibility_score': 3.2399999999999998}",20,4.96,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:23:08.285,4
64db6722b4f06b54750be930,153305,2.4,2.9,3.1,2.7,3.6,"{'chatty_score': 4.49, 'safety_score': 1.83, 'punctuality_score': 2.43, 'friendliness_score': 2.76, 'comfortibility_score': 1.8900000000000001}",30,4.49,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:23:08.581,1
64db5cdfffbd07ec587ba99b,44995,3.2,3.2,2.7,3.1,3.1,"{'chatty_score': 3.33, 'safety_score': 2.8, 'punctuality_score': 3.84, 'friendliness_score': 2.61, 'comfortibility_score': 2.5700000000000003}",20,3.84,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:24:15.932,3
64db5a7dffbd07ec587b8700,36136,2.2,2.4,3.0,2.1,2.1,"{'chatty_score': 5.529999999999999, 'safety_score': 10.620000000000001, 'punctuality_score': 4.4799999999999995, 'friendliness_score': 5.13, 'comfortibility_score': 10.649999999999999}",25,10.649999999999999,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:24:16.195,5
64db61fbb4f06b54750b9df5,134046,3.4,3.2,2.4,3.8,3.5,"{'chatty_score': 4.5, 'safety_score': 4.6499999999999995, 'punctuality_score': 4.2700000000000005, 'friendliness_score': 4.010000000000001, 'comfortibility_score': 3.86}",10,4.6499999999999995,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:24:16.481,2
64db5debffbd07ec587bb8e6,48910,2.3,3.1,2.1,2.0,3.4,"{'chatty_score': 2.78, 'safety_score': 2.05, 'punctuality_score': 3.17, 'friendliness_score': 1.9900000000000002, 'comfortibility_score': 2.3499999999999996}",25,3.17,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:24:29.155,3
64db5b51ffbd07ec587b930b,39219,2.4,2.9,3.4,2.3,2.4,"{'chatty_score': 3.32, 'safety_score': 2.13, 'punctuality_score': 2.52, 'friendliness_score': 2.3, 'comfortibility_score': 2.5599999999999996}",25,3.32,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:24:29.418,1
64db6296b4f06b54750ba6ce,136311,4.1,3.9,4.4,4.2,3.5,"{'chatty_score': 2.43, 'safety_score': 1.21, 'punctuality_score': 1.7, 'friendliness_score': 2.14, 'comfortibility_score': 2.31}",10,2.43,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:24:29.706,1
64db5e24ffbd07ec587bbc1e,49734,3.3,3.6,3.2,2.8,3.8,"{'chatty_score': 2.15, 'safety_score': 1.1700000000000002, 'punctuality_score': 2.4499999999999997, 'friendliness_score': 2.5, 'comfortibility_score': 4.27}",10,4.27,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:25:06.213,5
64db6150b4f06b54750b942e,131543,3.6,1.6,2.5,3.2,1.7,"{'chatty_score': 4.83, 'safety_score': 2.6200000000000006, 'punctuality_score': 7.21, 'friendliness_score': 3.1099999999999994, 'comfortibility_score': 2.1799999999999997}",30,7.21,punctuality_score,3,2,"{'1': 'punctuality_score', '2': 'punctuality_score'}",2023-08-17 09:57:00.228,3
64db59daffbd07ec587b7dab,33747,4.2,2.1,3.8,3.6,2.3,"{'chatty_score': 3.11, 'safety_score': 2.5, 'punctuality_score': 2.62, 'friendliness_score': 3.13, 'comfortibility_score': 3.8800000000000003}",15,3.8800000000000003,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:26:37.281,5
64db5f00ffbd07ec587bc8bc,52964,3.3,3.6,4.1,3.7,3.4,"{'chatty_score': 4.0, 'safety_score': 3.5599999999999996, 'punctuality_score': 1.61, 'friendliness_score': 4.140000000000001, 'comfortibility_score': 2.7199999999999998}",10,4.140000000000001,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:26:37.554,4
64db6378b4f06b54750bb39a,139587,2.8,1.9,2.0,2.9,1.7,"{'chatty_score': 5.53, 'safety_score': 2.96, 'punctuality_score': 3.9100000000000006, 'friendliness_score': 7.98, 'comfortibility_score': 4.59}",10,7.98,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:26:37.840,4
64db58d9ffbd07ec587b6f0b,30003,2.8,2.6,3.4,2.2,2.0,"{'chatty_score': 65.7, 'safety_score': 67.96000000000001, 'punctuality_score': 48.239999999999995, 'friendliness_score': 64.55, 'comfortibility_score': 56.53000000000001}",25,67.96000000000001,safety_score,2,24,"{'1': 'safety_score', '2': 'safety_score', '3': 'safety_score', '4': 'safety_score', '5': 'safety_score', '6': 'safety_score', '7': 'safety_score', '8': 'safety_score', '9': 'safety_score', '10': 'safety_score', '11': 'safety_score', '12': 'safety_score', '13': 'safety_score', '14': 'safety_score', '15': 'safety_score', '16': 'safety_score', '17': 'safety_score', '18': 'safety_score', '19': 'safety_score', '20': 'safety_score', '21': 'safety_score', '22': 'safety_score', '23': 'safety_score', '24': 'safety_score'}",2023-08-17 14:15:12.473,2
64db59feffbd07ec587b7fc2,34282,3.4,2.6,3.9,3.5,2.4,"{'chatty_score': 1.6700000000000002, 'safety_score': 0.6499999999999999, 'punctuality_score': 2.22, 'friendliness_score': 2.4, 'comfortibility_score': 3.06}",20,3.06,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:28:02.915,5
64db6138b4f06b54750b92d6,131199,2.3,3.9,2.7,2.1,3.8,"{'chatty_score': 4.3, 'safety_score': 5.64, 'punctuality_score': 5.06, 'friendliness_score': 3.3000000000000003, 'comfortibility_score': 3.84}",20,5.64,safety_score,2,2,"{'1': 'safety_score', '2': 'safety_score'}",2023-08-15 15:31:16.495,2
64db607effbd07ec587bde83,58539,2.4,3.4,3.5,2.5,3.2,"{'chatty_score': 2.04, 'safety_score': 3.25, 'punctuality_score': 3.26, 'friendliness_score': 6.879999999999999, 'comfortibility_score': 5.4}",25,6.879999999999999,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:30:44.874,4
64db6319b4f06b54750bae39,138210,3.9,2.7,4.0,4.1,3.3,"{'chatty_score': 1.52, 'safety_score': 1.8399999999999999, 'punctuality_score': 1.9299999999999997, 'friendliness_score': 3.84, 'comfortibility_score': 2.55}",15,3.84,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:30:45.120,4
64db5a5dffbd07ec587b852c,35668,3.8,1.8,2.6,3.7,1.8,"{'chatty_score': 1.42, 'safety_score': 2.76, 'punctuality_score': 3.9299999999999997, 'friendliness_score': 1.3900000000000001, 'comfortibility_score': 2.66}",20,3.9299999999999997,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:31:16.163,3
64db58d9ffbd07ec587b6f0c,30004,1.9,1.5,2.1,2.0,1.5,"{'chatty_score': 68.28999999999999, 'safety_score': 48.029999999999994, 'punctuality_score': 50.88, 'friendliness_score': 69.34999999999997, 'comfortibility_score': 51.809999999999995}",25,69.34999999999997,friendliness_score,4,21,"{'1': 'chatty_score', '2': 'friendliness_score', '3': 'friendliness_score', '4': 'friendliness_score', '5': 'chatty_score', '6': 'chatty_score', '7': 'chatty_score', '8': 'chatty_score', '9': 'chatty_score', '10': 'chatty_score', '11': 'chatty_score', '12': 'chatty_score', '13': 'chatty_score', '14': 'friendliness_score', '15': 'chatty_score', '16': 'friendliness_score', '17': 'friendliness_score', '18': 'friendliness_score', '19': 'friendliness_score', '20': 'friendliness_score', '21': 'friendliness_score'}",2023-08-17 20:52:47.733,1
64db5ce8ffbd07ec587baa1c,45124,3.0,2.7,3.7,2.7,3.5,"{'chatty_score': 5.380000000000001, 'safety_score': 4.07, 'punctuality_score': 3.4200000000000004, 'friendliness_score': 4.11, 'comfortibility_score': 6.62}",30,6.62,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:35:38.723,5
64db5ae1ffbd07ec587b8cac,37588,3.9,4.2,4.1,3.1,3.7,"{'chatty_score': 3.93, 'safety_score': 2.96, 'punctuality_score': 2.22, 'friendliness_score': 2.11, 'comfortibility_score': 4.8100000000000005}",30,4.8100000000000005,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:35:38.986,5
64db626fb4f06b54750ba492,135739,3.6,2.6,2.5,3.0,2.8,"{'chatty_score': 28.18, 'safety_score': 13.360000000000001, 'punctuality_score': 15.740000000000002, 'friendliness_score': 30.830000000000002, 'comfortibility_score': 16.55}",25,30.830000000000002,friendliness_score,4,4,"{'1': 'chatty_score', '2': 'chatty_score', '3': 'chatty_score', '4': 'friendliness_score'}",2023-08-17 14:33:03.053,1
64db5c06ffbd07ec587b9d4a,41842,3.0,3.3,3.8,2.9,2.8,"{'chatty_score': 2.4699999999999998, 'safety_score': 3.32, 'punctuality_score': 3.36, 'friendliness_score': 2.83, 'comfortibility_score': 1.4900000000000002}",20,3.36,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:35:54.438,3
64db5e63ffbd07ec587bbfb9,50657,3.4,2.6,3.1,3.0,2.7,"{'chatty_score': 1.58, 'safety_score': 3.87, 'punctuality_score': 4.86, 'friendliness_score': 2.5599999999999996, 'comfortibility_score': 2.54}",30,4.86,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:35:54.716,3
64db61c7b4f06b54750b9afc,133285,2.6,3.3,3.7,2.3,3.4,"{'chatty_score': 1.32, 'safety_score': 2.2, 'punctuality_score': 3.68, 'friendliness_score': 2.1, 'comfortibility_score': 3.27}",25,3.68,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-15 15:35:55.003,3
64db5e10ffbd07ec587bbb05,49453,2.9,3.1,3.9,3.4,2.8,"{'chatty_score': 2.56, 'safety_score': 4.71, 'punctuality_score': 1.7400000000000002, 'friendliness_score': 1.95, 'comfortibility_score': 5.74}",10,5.74,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:36:19.782,5
64db5ab2ffbd07ec587b8a00,36904,1.7,2.0,2.1,2.1,2.6,"{'chatty_score': 3.84, 'safety_score': 3.52, 'punctuality_score': 4.24, 'friendliness_score': 2.66, 'comfortibility_score': 5.720000000000001}",20,5.720000000000001,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:36:20.048,5
64db5eb3ffbd07ec587bc44d,51829,2.6,3.3,3.8,3.0,3.3,"{'chatty_score': 3.4699999999999998, 'safety_score': 1.96, 'punctuality_score': 2.57, 'friendliness_score': 2.4699999999999998, 'comfortibility_score': 3.6799999999999997}",25,3.6799999999999997,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-15 15:36:56.572,5
64db5afdffbd07ec587b8e37,37983,3.7,3.3,3.5,3.8,3.1,"{'chatty_score': 3.04, 'safety_score': 2.2699999999999996, 'punctuality_score': 2.54, 'friendliness_score': 3.0600000000000005, 'comfortibility_score': 2.94}",10,3.0600000000000005,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-15 15:36:56.835,4
64db61a7b4f06b54750b9930,132825,1.8,1.9,3.0,1.6,1.9,"{'chatty_score': 4.91, 'safety_score': 5.27, 'punctuality_score': 4.58, 'friendliness_score': 4.89, 'comfortibility_score': 4.82}",30,5.27,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:36:57.126,2
64db58d9ffbd07ec587b6f0d,30005,2.7,2.6,3.6,2.2,2.0,"{'chatty_score': 50.070000000000014, 'safety_score': 51.349999999999994, 'punctuality_score': 45.519999999999996, 'friendliness_score': 50.510000000000005, 'comfortibility_score': 47.210000000000015}",15,51.349999999999994,safety_score,2,14,"{'1': 'safety_score', '2': 'safety_score', '3': 'safety_score', '4': 'safety_score', '5': 'safety_score', '6': 'safety_score', '7': 'friendliness_score', '8': 'safety_score', '9': 'safety_score', '10': 'safety_score', '11': 'safety_score', '12': 'safety_score', '13': 'safety_score', '14': 'safety_score'}",2023-08-17 22:36:38.479,2
64db5d3fffbd07ec587baf1c,46404,2.8,3.4,3.6,3.6,2.9,"{'chatty_score': 0.8800000000000001, 'safety_score': 0.41999999999999993, 'punctuality_score': 0.21000000000000002, 'friendliness_score': 0.6200000000000001, 'comfortibility_score': 0.15000000000000002}",30,0.8800000000000001,chatty_score,1,1,{'1': 'chatty_score'},2023-08-15 15:38:11.579,1
64db632ab4f06b54750baf37,138464,4.5,4.1,4.0,4.5,3.6,"{'chatty_score': 0.67, 'safety_score': 0.76, 'punctuality_score': 0.39, 'friendliness_score': 0.42000000000000004, 'comfortibility_score': 0.31000000000000005}",25,0.76,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:38:11.825,2
64db597dffbd07ec587b7863,32395,2.8,2.5,2.5,3.6,2.7,"{'chatty_score': 2.5500000000000003, 'safety_score': 7.550000000000001, 'punctuality_score': 5.140000000000001, 'friendliness_score': 3.1100000000000003, 'comfortibility_score': 3.97}",20,7.550000000000001,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:38:54.444,2
64db5b49ffbd07ec587b9293,39099,2.8,2.8,3.5,2.3,3.3,"{'chatty_score': 5.279999999999999, 'safety_score': 10.899999999999999, 'punctuality_score': 4.55, 'friendliness_score': 4.1899999999999995, 'comfortibility_score': 6.220000000000001}",10,10.899999999999999,safety_score,2,1,{'1': 'safety_score'},2023-08-15 15:38:54.720,2
64db611fb4f06b54750b9161,130826,2.7,2.1,2.4,2.2,1.9,"{'chatty_score': 19.930000000000003, 'safety_score': 21.85, 'punctuality_score': 15.59, 'friendliness_score': 23.509999999999998, 'comfortibility_score': 19.560000000000002}",10,23.509999999999998,friendliness_score,4,4,"{'1': 'chatty_score', '2': 'comfortibility_score', '3': 'friendliness_score', '4': 'friendliness_score'}",2023-08-30 09:36:34.994,4
