_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,ratings_got_dict,UTT,max_rating_with_variance,got_feedback_classifier,got_feedback_classifier_int,trip_nbr,trip_got_class,time_stamp,most_frequent
64e89826a2cae17a1e26f5c2,101978,1.9,3.6,2.5,2.3,3.0,"{'chatty_score': 3.2600000000000007, 'safety_score': 1.7999999999999998, 'punctuality_score': 1.04, 'friendliness_score': 3.1700000000000004, 'comfortibility_score': 1.13}",30,3.2600000000000007,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 14:56:20.709,1
64e888114b6b0cea4cd24b51,2152,2.0,2.2,2.2,2.2,2.7,"{'chatty_score': 2.17, 'safety_score': 1.4400000000000002, 'punctuality_score': 0.99, 'friendliness_score': 1.6400000000000001, 'comfortibility_score': 0.85}",10,2.17,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 15:03:50.202,1
64e898e4a2cae17a1e26f966,102910,3.3,3.5,3.4,3.7,3.6,"{'chatty_score': 3.07, 'safety_score': 1.38, 'punctuality_score': 1.8499999999999999, 'friendliness_score': 3.85, 'comfortibility_score': 1.78}",20,3.85,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 15:03:50.833,4
64e886624b6b0cea4cd243e8,255,3.1,3.2,2.5,2.9,2.9,"{'chatty_score': 36.480000000000004, 'safety_score': 24.24, 'punctuality_score': 20.220000000000002, 'friendliness_score': 33.02, 'comfortibility_score': 20.220000000000002}",15,36.480000000000004,chatty_score,1,6,"{'1': 'comfortibility_score', '2': 'chatty_score', '3': 'chatty_score', '4': 'chatty_score', '5': 'chatty_score', '6': 'chatty_score'}",2023-08-26 17:00:36.742,1
64e89a18a2cae17a1e26ff49,104417,3.5,2.4,3.2,3.9,2.5,"{'chatty_score': 2.83, 'safety_score': 0.8799999999999999, 'punctuality_score': 1.19, 'friendliness_score': 1.53, 'comfortibility_score': 1.1}",15,2.83,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 15:11:06.076,1
64e886284b6b0cea4cd242eb,2,3.0,2.1,1.9,2.3,2.1,"{'chatty_score': 10.100000000000001, 'safety_score': 4.04, 'punctuality_score': 5.0600000000000005, 'friendliness_score': 8.450000000000001, 'comfortibility_score': 2.0}",10,10.100000000000001,chatty_score,1,4,"{'1': 'punctuality_score', '2': 'punctuality_score', '3': 'punctuality_score', '4': 'chatty_score'}",2023-08-25 15:42:46.497,3
64e88b904b6b0cea4cd25ac8,6111,3.1,3.5,3.3,2.9,3.5,"{'chatty_score': 3.9799999999999995, 'safety_score': 2.02, 'punctuality_score': 6.16, 'friendliness_score': 3.42, 'comfortibility_score': 1.45}",10,6.16,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 15:16:57.032,3
64e89a23a2cae17a1e26ff7f,104471,3.7,4.0,2.8,3.6,3.8,"{'chatty_score': 1.27, 'safety_score': 1.85, 'punctuality_score': 0.63, 'friendliness_score': 1.58, 'comfortibility_score': 2.45}",30,2.45,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 15:16:57.664,5
64e88c044b6b0cea4cd25cfd,6676,3.4,2.4,2.4,3.1,2.8,"{'chatty_score': 1.3800000000000001, 'safety_score': 3.3499999999999996, 'punctuality_score': 2.9000000000000004, 'friendliness_score': 1.76, 'comfortibility_score': 2.06}",25,3.3499999999999996,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:33:50.657,2
64e89dbba2cae17a1e271111,108969,3.2,4.3,4.0,3.4,3.7,"{'chatty_score': 0.9000000000000001, 'safety_score': 1.15, 'punctuality_score': 0.8399999999999999, 'friendliness_score': 0.76, 'comfortibility_score': 0.96}",15,1.15,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:33:51.294,2
64e88a494b6b0cea4cd25512,4649,2.8,3.7,3.8,3.3,3.1,"{'chatty_score': 0.8600000000000001, 'safety_score': 2.76, 'punctuality_score': 0.7000000000000001, 'friendliness_score': 1.44, 'comfortibility_score': 2.44}",20,2.76,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:42:28.024,2
64e89a2fa2cae17a1e26ffbb,104531,2.7,2.8,3.4,3.0,2.6,"{'chatty_score': 1.12, 'safety_score': 1.7000000000000002, 'punctuality_score': 1.4, 'friendliness_score': 2.79, 'comfortibility_score': 1.9700000000000002}",20,2.79,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 15:42:28.772,4
64e88bf74b6b0cea4cd25cc0,6615,3.9,3.8,4.3,3.6,3.4,"{'chatty_score': 3.4400000000000004, 'safety_score': 1.56, 'punctuality_score': 1.0, 'friendliness_score': 2.9000000000000004, 'comfortibility_score': 1.5300000000000002}",20,3.4400000000000004,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 15:42:47.114,1
64e89992a2cae17a1e26fcbf,103767,2.3,2.6,2.0,3.3,2.3,"{'chatty_score': 1.47, 'safety_score': 3.38, 'punctuality_score': 1.35, 'friendliness_score': 1.39, 'comfortibility_score': 3.35}",20,3.38,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:42:47.742,2
64e886284b6b0cea4cd242ec,3,2.2,1.8,1.7,2.2,2.3,"{'chatty_score': 19.27, 'safety_score': 26.210000000000004, 'punctuality_score': 20.979999999999997, 'friendliness_score': 19.509999999999998, 'comfortibility_score': 17.83}",15,26.210000000000004,safety_score,2,10,"{'1': 'chatty_score', '2': 'safety_score', '3': 'punctuality_score', '4': 'safety_score', '5': 'safety_score', '6': 'safety_score', '7': 'safety_score', '8': 'safety_score', '9': 'safety_score', '10': 'safety_score'}",2023-08-25 16:44:18.929,2
64e88e4c4b6b0cea4cd2683a,9553,1.8,2.6,2.3,2.2,3.5,"{'chatty_score': 2.24, 'safety_score': 3.75, 'punctuality_score': 1.43, 'friendliness_score': 3.18, 'comfortibility_score': 4.17}",15,4.17,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 15:49:18.135,5
64e88e7f4b6b0cea4cd26938,9807,3.0,2.5,2.6,3.1,3.1,"{'chatty_score': 2.35, 'safety_score': 1.8399999999999999, 'punctuality_score': 2.6399999999999997, 'friendliness_score': 1.92, 'comfortibility_score': 2.5999999999999996}",25,2.6399999999999997,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 15:49:18.869,3
64e896c1a2cae17a1e26eee6,100222,2.6,3.0,3.3,2.3,3.5,"{'chatty_score': 4.12, 'safety_score': 7.17, 'punctuality_score': 7.29, 'friendliness_score': 5.68, 'comfortibility_score': 7.14}",30,7.29,punctuality_score,3,2,"{'1': 'comfortibility_score', '2': 'punctuality_score'}",2023-08-25 16:04:24.817,5
64e8876d4b6b0cea4cd24881,1432,3.7,3.8,3.8,3.3,3.2,"{'chatty_score': 1.17, 'safety_score': 3.3600000000000003, 'punctuality_score': 1.4400000000000002, 'friendliness_score': 1.1199999999999999, 'comfortibility_score': 1.54}",20,3.3600000000000003,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:56:40.390,2
64e899b4a2cae17a1e26fd62,103930,2.9,2.0,1.9,3.4,2.4,"{'chatty_score': 1.1600000000000001, 'safety_score': 2.0, 'punctuality_score': 1.28, 'friendliness_score': 1.5100000000000002, 'comfortibility_score': 2.3}",25,2.3,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 15:56:41.020,5
64e88f154b6b0cea4cd26c16,10541,3.0,3.5,2.5,3.7,3.8,"{'chatty_score': 2.04, 'safety_score': 2.64, 'punctuality_score': 2.68, 'friendliness_score': 2.59, 'comfortibility_score': 2.07}",15,2.68,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 15:57:06.489,3
64e891884b6b0cea4cd27823,13626,3.3,4.1,4.2,3.9,3.5,"{'chatty_score': 1.87, 'safety_score': 3.32, 'punctuality_score': 3.1100000000000003, 'friendliness_score': 2.59, 'comfortibility_score': 2.7800000000000002}",20,3.32,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:57:07.193,2
64e8979ba2cae17a1e26f316,101294,3.6,2.7,3.9,3.4,3.3,"{'chatty_score': 2.5300000000000002, 'safety_score': 3.56, 'punctuality_score': 4.78, 'friendliness_score': 2.4000000000000004, 'comfortibility_score': 3.89}",30,4.78,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 15:57:07.899,3
64e889474b6b0cea4cd250a6,3517,3.2,2.7,2.5,2.7,2.5,"{'chatty_score': 3.01, 'safety_score': 5.88, 'punctuality_score': 4.73, 'friendliness_score': 2.42, 'comfortibility_score': 5.220000000000001}",15,5.88,safety_score,2,1,{'1': 'safety_score'},2023-08-25 16:04:23.920,2
64e88b864b6b0cea4cd25a96,6061,4.1,3.3,3.2,3.7,2.5,"{'chatty_score': 5.380000000000001, 'safety_score': 1.77, 'punctuality_score': 1.6700000000000002, 'friendliness_score': 6.79, 'comfortibility_score': 3.4}",25,6.79,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 16:19:36.146,4
64e89c1fa2cae17a1e270938,106960,1.8,2.9,2.1,2.1,2.4,"{'chatty_score': 1.09, 'safety_score': 3.55, 'punctuality_score': 1.5300000000000002, 'friendliness_score': 1.29, 'comfortibility_score': 2.42}",15,3.55,safety_score,2,1,{'1': 'safety_score'},2023-08-25 16:19:36.779,2
64e889584b6b0cea4cd250f2,3593,3.3,4.3,4.3,2.8,3.8,"{'chatty_score': 1.17, 'safety_score': 0.63, 'punctuality_score': 0.81, 'friendliness_score': 2.58, 'comfortibility_score': 1.12}",30,2.58,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 16:27:50.302,4
64e8a196a2cae17a1e2723f5,113805,4.0,3.8,2.8,4.1,3.6,"{'chatty_score': 2.86, 'safety_score': 1.86, 'punctuality_score': 2.7, 'friendliness_score': 2.52, 'comfortibility_score': 1.26}",15,2.86,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 16:27:50.951,1
64e88ae14b6b0cea4cd257ae,5317,3.5,3.8,2.9,3.1,3.5,"{'chatty_score': 0.93, 'safety_score': 2.3800000000000003, 'punctuality_score': 1.52, 'friendliness_score': 0.7200000000000001, 'comfortibility_score': 2.5599999999999996}",15,2.5599999999999996,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 16:28:20.226,5
64e8999ea2cae17a1e26fcf7,103823,4.1,3.5,3.3,4.2,3.2,"{'chatty_score': 2.5199999999999996, 'safety_score': 6.17, 'punctuality_score': 5.289999999999999, 'friendliness_score': 1.7200000000000002, 'comfortibility_score': 3.7}",30,6.17,safety_score,2,1,{'1': 'safety_score'},2023-08-25 16:28:20.865,2
64e8890c4b6b0cea4cd24f9f,3254,2.8,1.9,2.1,2.4,1.9,"{'chatty_score': 3.880000000000001, 'safety_score': 3.56, 'punctuality_score': 3.43, 'friendliness_score': 1.9799999999999998, 'comfortibility_score': 3.2}",20,3.880000000000001,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 16:42:58.364,1
64e8971ba2cae17a1e26f0a2,100666,1.9,4.1,3.3,1.9,4.0,"{'chatty_score': 5.0600000000000005, 'safety_score': 5.94, 'punctuality_score': 8.19, 'friendliness_score': 3.6999999999999993, 'comfortibility_score': 6.02}",15,8.19,punctuality_score,3,2,"{'1': 'punctuality_score', '2': 'punctuality_score'}",2023-08-25 16:44:21.251,3
64e8924e4b6b0cea4cd27bf1,14600,3.5,3.6,4.0,2.7,3.8,"{'chatty_score': 3.0600000000000005, 'safety_score': 2.3000000000000003, 'punctuality_score': 2.5999999999999996, 'friendliness_score': 2.16, 'comfortibility_score': 2.25}",10,3.0600000000000005,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 16:43:32.527,1
64e8a005a2cae17a1e271c47,111839,4.0,3.6,3.2,3.6,4.1,"{'chatty_score': 3.42, 'safety_score': 3.63, 'punctuality_score': 3.93, 'friendliness_score': 2.7399999999999998, 'comfortibility_score': 2.37}",30,3.93,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 16:43:33.206,3
64e88a024b6b0cea4cd253de,4341,2.7,2.7,2.2,2.5,2.6,"{'chatty_score': 4.1, 'safety_score': 3.1000000000000005, 'punctuality_score': 3.0500000000000003, 'friendliness_score': 4.220000000000001, 'comfortibility_score': 3.5900000000000003}",15,4.220000000000001,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 16:44:19.658,4
64e8866b4b6b0cea4cd24411,296,2.1,2.1,2.0,1.9,2.6,"{'chatty_score': 20.160000000000004, 'safety_score': 20.11, 'punctuality_score': 19.370000000000005, 'friendliness_score': 24.24, 'comfortibility_score': 24.130000000000006}",20,24.24,friendliness_score,4,6,"{'1': 'friendliness_score', '2': 'punctuality_score', '3': 'punctuality_score', '4': 'punctuality_score', '5': 'friendliness_score', '6': 'friendliness_score'}",2023-08-26 18:01:59.721,4
64e886294b6b0cea4cd242ee,5,2.5,2.8,2.5,3.0,2.3,"{'chatty_score': 15.55, 'safety_score': 17.57, 'punctuality_score': 18.99, 'friendliness_score': 15.95, 'comfortibility_score': 19.91}",20,19.91,comfortibility_score,5,4,"{'1': 'chatty_score', '2': 'friendliness_score', '3': 'friendliness_score', '4': 'comfortibility_score'}",2023-08-25 16:56:16.399,4
64e889dd4b6b0cea4cd2533c,4179,3.5,3.5,3.9,3.5,3.4,"{'chatty_score': 4.74, 'safety_score': 6.7, 'punctuality_score': 9.02, 'friendliness_score': 2.67, 'comfortibility_score': 0.34}",20,9.02,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 16:47:40.675,3
64e89788a2cae17a1e26f2b9,101201,1.9,1.8,2.1,2.0,1.9,"{'chatty_score': 7.1499999999999995, 'safety_score': 1.6300000000000003, 'punctuality_score': 3.1700000000000004, 'friendliness_score': 9.53, 'comfortibility_score': 2.98}",20,9.53,friendliness_score,4,2,"{'1': 'friendliness_score', '2': 'friendliness_score'}",2023-08-25 16:48:23.238,4
64e88f274b6b0cea4cd26c6a,10625,3.9,4.2,4.4,3.7,4.0,"{'chatty_score': 0.8599999999999999, 'safety_score': 0.9200000000000002, 'punctuality_score': 1.8200000000000003, 'friendliness_score': 4.16, 'comfortibility_score': 3.0300000000000002}",30,4.16,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 16:48:07.964,4
64e89fe8a2cae17a1e271bba,111698,2.8,3.1,3.0,2.9,2.8,"{'chatty_score': 1.42, 'safety_score': 1.2799999999999998, 'punctuality_score': 0.94, 'friendliness_score': 1.04, 'comfortibility_score': 1.7}",30,1.7,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 16:48:08.606,5
64e88acb4b6b0cea4cd2574f,5222,3.1,3.0,3.1,3.8,3.4,"{'chatty_score': 2.64, 'safety_score': 4.470000000000001, 'punctuality_score': 5.82, 'friendliness_score': 1.5899999999999999, 'comfortibility_score': 1.62}",30,5.82,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 16:48:22.441,3
64e887ab4b6b0cea4cd24992,1705,2.9,1.8,1.9,2.1,2.1,"{'chatty_score': 2.27, 'safety_score': 2.01, 'punctuality_score': 2.32, 'friendliness_score': 1.7300000000000002, 'comfortibility_score': 1.02}",25,2.32,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 16:56:17.008,3
64e89ae8a2cae17a1e270346,105438,2.1,3.0,3.3,2.3,3.2,"{'chatty_score': 3.3499999999999996, 'safety_score': 3.3499999999999996, 'punctuality_score': 5.180000000000001, 'friendliness_score': 4.03, 'comfortibility_score': 4.51}",10,5.180000000000001,punctuality_score,3,2,"{'1': 'punctuality_score', '2': 'punctuality_score'}",2023-08-31 18:39:00.582,3
64e886294b6b0cea4cd242ef,6,2.5,2.8,2.8,2.2,2.5,"{'chatty_score': 6.19, 'safety_score': 7.640000000000001, 'punctuality_score': 6.69, 'friendliness_score': 8.530000000000001, 'comfortibility_score': 6.4799999999999995}",10,8.530000000000001,friendliness_score,4,3,"{'1': 'friendliness_score', '2': 'friendliness_score', '3': 'friendliness_score'}",2023-08-25 17:20:15.057,4
64e88ee64b6b0cea4cd26b31,10312,2.5,2.7,2.2,2.4,2.3,"{'chatty_score': 0.88, 'safety_score': 0.42000000000000004, 'punctuality_score': 0.24, 'friendliness_score': 0.9, 'comfortibility_score': 0.0}",30,0.9,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 16:57:29.728,4
64e89938a2cae17a1e26fb05,103325,3.5,3.6,3.8,2.8,3.6,"{'chatty_score': 0.45999999999999996, 'safety_score': 1.28, 'punctuality_score': 0.75, 'friendliness_score': 1.26, 'comfortibility_score': 0.2}",25,1.28,safety_score,2,1,{'1': 'safety_score'},2023-08-25 16:57:30.359,2
64e88f924b6b0cea4cd26e75,11148,1.6,1.5,1.8,1.4,1.7,"{'chatty_score': 6.43, 'safety_score': 0.29000000000000004, 'punctuality_score': 3.83, 'friendliness_score': 2.96, 'comfortibility_score': 0.23}",10,6.43,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 17:12:38.092,1
64e89e02a2cae17a1e27126c,109316,4.2,3.6,3.3,4.2,3.5,"{'chatty_score': 0.6900000000000001, 'safety_score': 3.0700000000000003, 'punctuality_score': 3.04, 'friendliness_score': 0.44000000000000006, 'comfortibility_score': 1.7799999999999998}",25,3.0700000000000003,safety_score,2,1,{'1': 'safety_score'},2023-08-25 17:12:38.725,2
64e88efa4b6b0cea4cd26b90,10407,4.0,4.3,4.2,3.6,3.9,"{'chatty_score': 2.6, 'safety_score': 2.56, 'punctuality_score': 1.9000000000000001, 'friendliness_score': 2.5599999999999996, 'comfortibility_score': 2.41}",30,2.6,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 17:20:15.773,1
64e890784b6b0cea4cd272e3,12282,4.5,3.0,3.9,4.1,2.5,"{'chatty_score': 2.1799999999999997, 'safety_score': 8.48, 'punctuality_score': 3.72, 'friendliness_score': 2.52, 'comfortibility_score': 7.28}",20,8.48,safety_score,2,1,{'1': 'safety_score'},2023-08-25 17:20:16.510,2
64e89810a2cae17a1e26f557,101871,3.7,4.3,4.3,3.4,3.8,"{'chatty_score': 2.16, 'safety_score': 3.4299999999999997, 'punctuality_score': 2.18, 'friendliness_score': 2.17, 'comfortibility_score': 3.0999999999999996}",15,3.4299999999999997,safety_score,2,1,{'1': 'safety_score'},2023-08-25 17:20:17.258,2
64e886294b6b0cea4cd242f0,7,4.5,4.1,4.4,4.2,3.3,"{'chatty_score': 6.050000000000001, 'safety_score': 8.580000000000002, 'punctuality_score': 6.49, 'friendliness_score': 5.040000000000002, 'comfortibility_score': 6.15}",20,8.580000000000002,safety_score,2,4,"{'2': 'safety_score', '3': 'safety_score', '4': 'safety_score'}",2023-08-25 17:33:47.833,2
64e88f714b6b0cea4cd26dd3,10986,3.6,2.4,2.6,3.8,2.3,"{'chatty_score': 5.16, 'safety_score': 5.1, 'punctuality_score': 5.6000000000000005, 'friendliness_score': 3.1799999999999997, 'comfortibility_score': 4.05}",25,5.6000000000000005,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 17:25:44.105,3
64e897efa2cae17a1e26f4b5,101709,2.3,3.9,2.9,2.7,3.9,"{'chatty_score': 3.8000000000000003, 'safety_score': 3.3200000000000003, 'punctuality_score': 6.16, 'friendliness_score': 3.39, 'comfortibility_score': 4.57}",20,6.16,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 17:25:44.815,3
64e8893e4b6b0cea4cd2507d,3476,2.0,3.2,2.3,1.7,2.7,"{'chatty_score': 1.7, 'safety_score': 1.83, 'punctuality_score': 2.9299999999999997, 'friendliness_score': 1.7999999999999998, 'comfortibility_score': 1.45}",15,2.9299999999999997,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 17:33:21.136,3
64e89cf7a2cae17a1e270d52,108010,3.2,2.3,2.6,3.4,2.6,"{'chatty_score': 2.4400000000000004, 'safety_score': 0.75, 'punctuality_score': 2.17, 'friendliness_score': 2.47, 'comfortibility_score': 1.3}",25,2.47,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 17:33:21.774,4
64e88de54b6b0cea4cd2663f,9046,3.9,3.9,4.4,4.0,3.5,"{'chatty_score': 4.01, 'safety_score': 0.79, 'punctuality_score': 1.42, 'friendliness_score': 2.8, 'comfortibility_score': 2.06}",20,4.01,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 17:33:48.453,1
64e89f5ca2cae17a1e271910,111016,4.5,3.8,4.0,4.2,3.2,"{'chatty_score': 2.05, 'safety_score': 0.69, 'punctuality_score': 1.42, 'friendliness_score': 2.96, 'comfortibility_score': 1.37}",25,2.96,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 17:33:49.090,4
64e886294b6b0cea4cd242f1,8,3.1,3.0,3.6,3.7,2.5,"{'chatty_score': 7.33, 'safety_score': 5.79, 'punctuality_score': 11.74, 'friendliness_score': 6.4799999999999995, 'comfortibility_score': 4.71}",20,11.74,punctuality_score,3,4,"{'1': 'safety_score', '2': 'punctuality_score', '3': 'punctuality_score', '4': 'punctuality_score'}",2023-08-25 18:03:37.231,3
64e88e284b6b0cea4cd26789,9376,2.0,3.2,2.6,2.4,3.3,"{'chatty_score': 0.6200000000000001, 'safety_score': 1.8200000000000003, 'punctuality_score': 0.5900000000000001, 'friendliness_score': 0.0, 'comfortibility_score': 1.09}",20,1.8200000000000003,safety_score,2,1,{'1': 'safety_score'},2023-08-25 17:58:20.673,2
64e89ef7a2cae17a1e271721,110521,1.6,2.3,1.7,1.7,2.2,"{'chatty_score': 0.55, 'safety_score': 2.2300000000000004, 'punctuality_score': 0.26, 'friendliness_score': 0.72, 'comfortibility_score': 0.32000000000000006}",10,2.2300000000000004,safety_score,2,1,{'1': 'safety_score'},2023-08-25 17:58:21.301,2
64e887804b6b0cea4cd248d2,1513,1.6,2.3,2.0,1.9,2.2,"{'chatty_score': 6.380000000000001, 'safety_score': 2.19, 'punctuality_score': 7.41, 'friendliness_score': 3.2200000000000006, 'comfortibility_score': 3.8899999999999997}",20,7.41,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 17:58:53.317,3
64e89814a2cae17a1e26f56c,101892,4.1,4.6,4.6,4.6,4.7,"{'chatty_score': 0.83, 'safety_score': 0.96, 'punctuality_score': 0.71, 'friendliness_score': 0.48, 'comfortibility_score': 1.37}",25,1.37,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 17:58:53.945,5
64e889ac4b6b0cea4cd25262,3961,1.7,1.7,1.9,1.5,1.6,"{'chatty_score': 1.72, 'safety_score': 7.1, 'punctuality_score': 4.0, 'friendliness_score': 1.03, 'comfortibility_score': 3.869999999999999}",15,7.1,safety_score,2,1,{'1': 'safety_score'},2023-08-25 18:03:20.850,2
64e8864b4b6b0cea4cd24386,157,4.0,3.4,3.2,3.5,3.2,"{'chatty_score': 11.36, 'safety_score': 9.43, 'punctuality_score': 11.68, 'friendliness_score': 11.87, 'comfortibility_score': 11.66}",15,11.87,friendliness_score,4,7,"{'1': 'comfortibility_score', '2': 'comfortibility_score', '3': 'friendliness_score', '4': 'friendliness_score', '5': 'chatty_score', '6': 'friendliness_score', '7': 'friendliness_score'}",2023-08-26 11:42:40.162,4
64e89b06a2cae17a1e2703d9,105585,3.0,2.4,3.6,2.6,2.3,"{'chatty_score': 2.36, 'safety_score': 5.09, 'punctuality_score': 3.0599999999999996, 'friendliness_score': 1.9, 'comfortibility_score': 7.340000000000001}",15,7.340000000000001,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 18:03:22.291,5
64e88d6f4b6b0cea4cd263fa,8465,2.8,2.5,2.8,3.2,2.1,"{'chatty_score': 5.1, 'safety_score': 4.96, 'punctuality_score': 7.43, 'friendliness_score': 4.92, 'comfortibility_score': 8.379999999999999}",30,8.379999999999999,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 18:03:37.945,5
